"Table 322.10. Bachelor's degrees conferred by postsecondary institutions, by field of study: Selected years, 1970-71 through 2016-17",,,,,,,,,,,,,,,,,,
Field of study,1970-71,1975-76,1980-81,1985-86,1990-91,1995-96,2000-01,2005-06,2006-07,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Psychology .........................................,"38,187","50,278","41,068","40,628","58,655","73,416","73,645","88,132","90,073","94,273","97,215","100,906","109,099","114,446","117,312","117,573","117,447","116,861"
Public administration and social services ........................,"5,466","15,440","16,707","11,887","14,350","19,849","19,447","21,986","23,147","23,852","25,421","26,799","29,695","31,950","33,483","34,364","34,433","35,464"
Social sciences and history ........................................,"155,324","126,396","100,513","93,840","125,107","126,479","128,036","161,468","164,229","168,517","172,782","177,169","178,534","177,767","173,132","166,971","161,211","159,099"
Theology and religious vocations ....................,"3,720","5,490","5,808","5,510","4,799","5,292","6,945","8,548","8,696","8,940","8,719","9,073","9,304","9,385","9,642","9,713","9,804","9,491"
,,,,,,,,,,,,,,,,,,
Transportation and materials moving .....................,0,225,263,"1,838","2,622","3,561","3,748","5,349","5,657","5,189","4,998","4,941","4,876","4,661","4,588","4,730","4,531","4,710"
Visual and performing arts ...............................,"30,394","42,138","40,479","37,241","42,186","49,296","61,148","83,292","85,210","89,143","91,798","93,939","95,806","97,799","97,414","95,840","92,979","91,262"
Not classified by field of study ...................,0,0,0,0,"13,258","1,756",783,0,0,0,0,0,0,0,0,0,0,0
"NOTE: Data through 1990-91 are for institutions of higher education, while later data are for postsecondary institutions that participate in Title IV federal financial aid programs. The new Classification of Instructional Programs was initiated in 2009-10. The figures for earlier years have been reclassified when necessary to make them conform to the new taxonomy. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; ""Business"" includes Business, management, marketing, and related support services and Personal and culinary services; and ""Engineering technologies"" includes Engineering technologies and engineering-related fields, Construction trades, and Mechanic and repair technologies/technicians. Some data have been revised from previously published figures.",,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Higher Education General Information Survey (HEGIS), ""Degrees and Other Formal Awards Conferred"" surveys, 1970-71 through 1985-86; Integrated Postsecondary Education Data System (IPEDS), ""Completions Survey"" (IPEDS-C:91-99); and IPEDS Fall 2000 through Fall 2017, Completions component. (This table was prepared August 2018.)",,,,,,,,,,,,,,,,,,
