"Table 322.40. Bachelor's degrees conferred to males by postsecondary institutions, by race/ethnicity and field of study: 2015-16 and 2016-17       ",,,,,,,,,,,,,,,,,,,,
Field of study,2015-16,,,,,,,,,,2016-17,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
"Liberal arts and sciences, general studies, and 
   humanities ......................................","16,150","10,276","2,582","1,734",542,493,49,142,527,347,"15,999","10,119","2,551","1,804",542,489,53,135,536,312
Library science ............................................,6,5,1,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
Mathematics and statistics ........................................,"13,090","7,580",503,"1,246","1,454","1,436",18,34,403,"1,870","14,002","7,825",527,"1,352","1,556","1,541",15,43,453,"2,246"
Mechanic and repair technologies/technicians ....................................,359,239,28,23,16,16,0,6,13,34,287,203,24,25,12,12,0,3,9,11
Military technologies and applied sciences .............................,290,228,27,17,4,3,1,4,9,1,401,306,28,36,10,9,1,3,12,6
Multi/interdisciplinary studies ......................................,"16,244","9,825","2,036","2,189","1,036",997,39,107,549,502,"16,800","9,912","2,093","2,189","1,244","1,189",55,86,686,590
"Parks, recreation, leisure, and fitness studies ........................","26,708","17,583","3,342","3,026","1,290","1,226",64,117,854,496,"27,390","17,506","3,411","3,281","1,393","1,316",77,136,"1,027",636
,,,,,,,,,,,,,,,,,,,,
Philosophy and religious studies ......................................,"6,371","4,416",455,731,319,301,18,31,223,196,"6,008","4,106",443,708,297,288,9,28,249,177
Physical sciences and science technologies ............................,"18,671","12,970",688,"1,695","1,626","1,602",24,84,670,938,"18,860","12,872",754,"1,862","1,557","1,545",12,66,689,"1,060"
Precision production .............................................,28,25,0,0,2,2,0,0,0,1,18,15,1,1,1,0,1,0,0,0
Psychology ..........................................................…,"26,277","15,104","2,968","4,243","2,119","2,058",61,141,995,707,"25,526","14,139","3,036","4,414","1,985","1,920",65,147,"1,036",769
Public administration and social services .............................................…,"6,023","3,334","1,262",838,245,218,27,39,196,109,"6,238","3,423","1,235",967,269,249,20,54,184,106
,,,,,,,,,,,,,,,,,,,,
Social sciences and history ...............................,"81,292","51,322","6,142","10,168","5,479","5,309",170,354,"2,781","5,046","79,568","48,843","6,122","10,735","5,390","5,228",162,323,"2,878","5,277"
  Social sciences .................................................,"66,006","39,624","5,399","8,488","5,031","4,883",148,277,"2,321","4,866","65,262","38,066","5,434","9,011","4,955","4,816",139,238,"2,445","5,113"
  History ......................................................,"15,286","11,698",743,"1,680",448,426,22,77,460,180,"14,306","10,777",688,"1,724",435,412,23,85,433,164
Theology and religious vocations .................................,"6,749","5,549",468,323,143,125,18,23,97,146,"6,619","5,436",415,334,145,138,7,28,93,168
Transportation and materials moving ..................................,"3,979","2,846",259,320,153,137,16,16,144,241,"4,136","2,949",236,293,170,154,16,22,165,301
Visual and performing arts .............................................,"36,712","22,900","3,225","5,087","2,132","2,050",82,209,"1,413","1,746","35,296","21,533","3,186","4,993","1,982","1,893",89,165,"1,469","1,968"
Other and not classified .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"\1\Excludes ""Construction trades"" and ""Mechanic and repair technologies/technicians,"" which are listed separately.    ",,,,,,,,,,,,,,,,,,,,
"NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; and ""Business"" includes Business management, marketing, and related support services and Personal and culinary services. Some data have been revised from previously published figures.      ",,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2016 and Fall 2017, Completions component. (This table was prepared August 2018.)  ",,,,,,,,,,,,,,,,,,,,
