"Table 322.40. Bachelor's degrees conferred to males by postsecondary institutions, by race/ethnicity and field of study: 2014-15 and 2015-16       ",,,,,,,,,,,,,,,,,,,,
Field of study,2014-15,,,,,,,,,,2015-16,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
"Liberal arts and sciences, general studies, and 
   humanities ......................................","16,136","10,530","2,521","1,607",555,507,48,148,428,347,"16,145","10,274","2,581","1,732",542,493,49,142,527,347
Library science ............................................,16,13,3,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
Mathematics and statistics ........................................,"12,462","7,554",495,"1,061","1,364","1,347",17,45,348,"1,595","13,088","7,579",504,"1,245","1,453","1,435",18,34,403,"1,870"
Mechanic and repair technologies/technicians ....................................,370,264,29,26,14,14,0,1,13,23,359,239,28,23,16,16,0,6,13,34
Military technologies and applied sciences .............................,225,164,26,24,3,2,1,2,3,3,290,228,27,17,4,3,1,4,9,1
Multi/interdisciplinary studies ......................................,"15,930","10,050","1,851","1,969","1,001",946,55,123,509,427,"16,247","9,832","2,035","2,186","1,036",997,39,107,549,502
"Parks, recreation, leisure, and fitness studies ........................","25,950","17,886","2,910","2,692","1,153","1,062",91,137,706,466,"26,709","17,590","3,340","3,024","1,289","1,226",63,116,854,496
,,,,,,,,,,,,,,,,,,,,
Philosophy and religious studies ......................................,"7,004","5,022",474,720,363,344,19,35,223,167,"6,372","4,417",455,731,319,301,18,31,223,196
Physical sciences and science technologies ............................,"18,480","13,203",704,"1,474","1,616","1,589",27,82,541,860,"18,666","12,965",687,"1,694","1,628","1,604",24,84,670,938
Precision production .............................................,33,25,0,1,3,3,0,1,0,3,28,25,0,0,2,2,0,0,0,1
Psychology ..........................................................…,"26,803","15,977","3,032","4,013","2,038","1,955",83,154,969,620,"26,279","15,107","2,970","4,239","2,120","2,059",61,141,995,707
Public administration and social services .............................................…,"6,146","3,375","1,295",875,261,239,22,58,165,117,"6,025","3,334","1,262",840,245,218,27,39,196,109
,,,,,,,,,,,,,,,,,,,,
Social sciences and history ...............................,"85,484","55,483","6,562","10,027","5,712","5,505",207,354,"2,654","4,692","81,300","51,328","6,142","10,165","5,482","5,312",170,354,"2,781","5,048"
  Social sciences .................................................,"68,698","42,363","5,786","8,334","5,195","5,011",184,271,"2,197","4,552","66,013","39,627","5,400","8,488","5,032","4,884",148,277,"2,321","4,868"
  History ......................................................,"16,786","13,120",776,"1,693",517,494,23,83,457,140,"15,287","11,701",742,"1,677",450,428,22,77,460,180
Theology and religious vocations .................................,"6,616","5,499",419,297,151,144,7,33,72,145,"6,749","5,549",468,323,143,125,18,23,97,146
Transportation and materials moving ..................................,"4,146","3,065",271,315,151,136,15,22,131,191,"3,976","2,845",258,319,153,137,16,16,144,241
Visual and performing arts .............................................,"38,024","24,700","3,129","4,858","2,238","2,155",83,231,"1,447","1,421","36,710","22,897","3,225","5,088","2,132","2,050",82,209,"1,413","1,746"
Other and not classified .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"\1\Excludes ""Construction trades"" and ""Mechanic and repair technologies/technicians,"" which are listed separately.    ",,,,,,,,,,,,,,,,,,,,
"NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; and ""Business"" includes Business, management, marketing, and related support services and Personal and culinary services. Some data have been revised from previously published figures.",,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2015 and Fall 2016, Completions component. (This table was prepared August 2017.)  ",,,,,,,,,,,,,,,,,,,,
