"Table 322.40. Bachelor's degrees conferred to males by postsecondary institutions, by race/ethnicity and field of study: 2011-12 and 2012-13       ",,,,,,,,,,,,,,,,,,,,
Field of study,2011-12,,,,,,,,,,2012-13,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
"Liberal arts and sciences, general studies, and 
   humanities ......................................","16,953","11,785","2,326","1,404",626,570,56,185,282,345,"16,968","11,601","2,393","1,547",554,502,52,168,354,351
Library science ............................................,7,7,0,0,0,0,0,0,0,0,12,11,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
Mathematics and statistics ........................................,"10,722","7,284",508,714,"1,104","1,085",19,37,151,924,"11,602","7,559",503,840,"1,297","1,273",24,51,194,"1,158"
Mechanic and repair technologies/technicians ....................................,235,164,10,17,12,12,0,3,1,28,241,182,10,11,11,10,1,5,1,21
Military technologies and applied sciences .............................,69,42,18,5,0,0,0,1,1,2,80,54,15,10,0,0,0,0,0,1
Multi/interdisciplinary studies ......................................,"14,597","9,990","1,502","1,534",883,849,34,114,240,334,"15,330","10,320","1,628","1,607",939,887,52,138,326,372
"Parks, recreation, leisure, and fitness studies ........................","20,834","15,351","2,211","1,764",791,732,59,142,244,331,"23,228","16,846","2,489","2,072",923,859,64,138,414,346
,,,,,,,,,,,,,,,,,,,,
Philosophy and religious studies ......................................,"7,958","6,112",483,664,372,352,20,50,154,123,"8,150","5,973",582,756,462,443,19,50,187,140
Physical sciences and science technologies ............................,"15,972","11,924",620,963,"1,481","1,459",22,85,242,657,"17,143","12,514",670,"1,200","1,612","1,578",34,71,309,767
Precision production .............................................,28,23,2,1,2,2,0,0,0,0,23,18,0,1,3,3,0,0,0,1
Psychology ..........................................................…,"25,420","16,666","2,598","2,903","2,110","2,040",70,194,498,451,"26,816","16,995","2,904","3,381","2,172","2,091",81,182,610,572
Public administration and social services .............................................…,"5,386","3,158","1,093",645,266,237,29,47,95,82,"5,664","3,228","1,161",740,295,277,18,54,110,76
,,,,,,,,,,,,,,,,,,,,
Social sciences and history ...............................,"90,628","63,667","6,624","8,620","6,391","6,178",213,513,"1,579","3,234","90,148","61,910","6,683","9,256","6,272","6,045",227,475,"1,837","3,715"
  Social sciences .................................................,"69,657","46,457","5,764","6,983","5,711","5,537",174,389,"1,256","3,097","69,688","45,353","5,852","7,481","5,625","5,434",191,367,"1,437","3,573"
  History ......................................................,"20,971","17,210",860,"1,637",680,641,39,124,323,137,"20,460","16,557",831,"1,775",647,611,36,108,400,142
Theology and religious vocations .................................,"6,251","5,329",345,230,152,142,10,20,54,121,"6,351","5,348",363,272,149,128,21,33,50,136
Transportation and materials moving ..................................,"4,305","3,333",297,323,160,141,19,32,46,114,"3,997","2,882",267,301,194,168,26,18,235,100
Visual and performing arts .............................................,"37,164","26,418","2,692","3,826","2,226","2,147",79,272,615,"1,115","38,061","26,329","2,892","4,328","2,270","2,169",101,245,784,"1,213"
Other and not classified .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"\1\Excludes ""Construction trades"" and ""Mechanic and repair technologies/technicians,"" which are listed separately.    ",,,,,,,,,,,,,,,,,,,,
"NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; and ""Business"" includes Business management, marketing, and related support services and Personal and culinary services. Some data have been revised from previously published figures.      ",,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2012 and Fall 2013, Completions component. (This table was prepared September 2014.)  ",,,,,,,,,,,,,,,,,,,,
