"Table 322.50. Bachelor's degrees conferred to females by postsecondary institutions, by race/ethnicity and field of study: 2010-11 and 2011-12       ",,,,,,,,,,,,,,,,,,,,
Field of study,2010-11,,,,,,,,,,2011-12,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
"Liberal arts and sciences, general studies, and 
   humanities ......................................","30,239","19,634","4,522","3,582","1,133","1,058",75,357,409,602,"29,981","19,354","4,447","3,623","1,111","1,035",76,336,539,571
Library science ............................................,83,73,2,3,3,3,0,0,2,0,88,82,2,3,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
Mathematics and statistics ........................................,"7,399","5,077",422,504,745,728,17,36,97,518,"8,119","5,450",468,595,772,752,20,22,96,716
Mechanic and repair technologies/technicians ....................................,17,11,0,4,1,1,0,0,0,1,15,7,2,0,0,0,0,2,0,4
Military technologies and applied sciences .............................,14,8,6,0,0,0,0,0,0,0,17,9,7,1,0,0,0,0,0,0
Multi/interdisciplinary studies ......................................,"28,626","18,798","3,048","3,955","1,739","1,687",52,238,361,487,"31,122","20,110","3,552","4,417","1,756","1,683",73,243,467,577
"Parks, recreation, leisure, and fitness studies ........................","16,988","12,973","1,519","1,278",620,563,57,120,210,268,"18,163","13,822","1,539","1,418",707,655,52,125,280,272
,,,,,,,,,,,,,,,,,,,,
Philosophy and religious studies ......................................,"4,687","3,435",464,323,290,279,11,33,76,66,"4,688","3,356",481,388,250,246,4,35,100,78
Physical sciences and science technologies ............................,"9,930","6,712",739,615,"1,211","1,190",21,62,145,446,"10,691","7,058",920,719,"1,260","1,243",17,69,205,460
Precision production .............................................,21,10,0,3,4,4,0,0,0,4,9,7,0,0,0,0,0,0,2,0
Psychology ..........................................................…,"77,664","50,559","10,059","9,129","4,881","4,717",164,544,"1,217","1,275","83,580","53,350","10,931","10,421","5,220","5,045",175,561,"1,541","1,556"
Public administration and social services .............................................…,"21,866","12,358","5,194","2,733",725,650,75,249,395,212,"24,310","13,808","5,822","3,089",747,670,77,240,367,237
,,,,,,,,,,,,,,,,,,,,
Social sciences and history ...............................,"87,330","54,730","10,379","10,164","7,070","6,848",222,647,"1,413","2,927","87,909","54,179","10,519","10,930","6,629","6,372",257,602,"1,884","3,166"
  Social sciences .................................................,"73,154","43,677","9,528","8,918","6,508","6,308",200,551,"1,177","2,795","73,758","43,264","9,660","9,599","6,080","5,845",235,498,"1,604","3,053"
  History ......................................................,"14,176","11,053",851,"1,246",562,540,22,96,236,132,"14,151","10,915",859,"1,331",549,527,22,104,280,113
Theology and religious vocations .................................,"2,956","2,337",260,162,84,73,11,11,29,73,"3,094","2,421",292,155,80,74,6,22,34,90
Transportation and materials moving ..................................,596,419,46,45,33,32,1,8,11,34,571,404,46,57,25,22,3,12,7,20
Visual and performing arts .............................................,"57,615","42,467","3,180","4,744","3,732","3,599",133,380,"1,020","2,092","58,639","42,451","3,420","5,257","3,761","3,665",96,346,"1,136","2,268"
Other and not classified .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"\1\Excludes ""Construction trades"" and ""Mechanic and repair technologies/technicians,"" which are listed separately.    ",,,,,,,,,,,,,,,,,,,,
"NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; and ""Business"" includes Business management, marketing, and related support services and Personal and culinary services.     ",,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2011 and Fall 2012, Completions component. (This table was prepared July 2013.)  ",,,,,,,,,,,,,,,,,,,,
