"Table 322.20. Bachelor's degrees conferred by postsecondary institutions, by race/ethnicity and sex of student: Selected
              years, 1976-77 through 2016-17     ",,,,,,,,,,,,,,,
Year and sex,"Number of degrees conferred to U.S. citizens, permanent residents, and nonresident aliens",,,,,,,,Percentage distribution of degrees conferred to U.S. citizens and permanent residents,,,,,,
2010-11 ............,"1,716,053","1,182,690","172,731","154,450","121,118","11,935","20,589","52,540",100.0,71.1,10.4,9.3,7.3,0.7,1.2
2011-12 ............,"1,792,163","1,212,417","185,916","169,736","126,177","11,498","27,234","59,185",100.0,70.0,10.7,9.8,7.3,0.7,1.6
,,,,,,,,,,,,,,,
2012-13 ............,"1,840,381","1,221,908","191,233","186,677","130,129","11,432","34,128","64,874",100.0,68.8,10.8,10.5,7.3,0.6,1.9
2013-14 ............,"1,870,150","1,218,998","191,437","202,425","131,662","10,784","45,422","69,422",100.0,67.7,10.6,11.2,7.3,0.6,2.5
2014-15 ............,"1,894,969","1,210,071","192,829","218,098","133,916","10,202","54,215","75,638",100.0,66.5,10.6,12.0,7.4,0.6,3.0
2015-16 ............,"1,920,750","1,197,323","194,408","235,190","138,257","9,735","61,584","84,253",100.0,65.2,10.6,12.8,7.5,0.5,3.4
2016-17 ............,"1,956,032","1,196,007","196,300","252,166","144,078","9,582","66,526","91,373",100.0,64.1,10.5,13.5,7.7,0.5,3.6
,,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,,,
1976-77\1\ ............,"494,424","438,161","25,147","10,318","7,638","1,804",---,"11,356",100.0,90.7,5.2,2.1,1.6,0.4,---
1980-81\2\ .............,"469,625","406,173","24,511","10,810","10,107","1,700",---,"16,324",100.0,89.6,5.4,2.4,2.2,0.4,---
1990-91 ............,"504,045","421,290","24,800","16,598","21,203","1,938",---,"18,216",100.0,86.7,5.1,3.4,4.4,0.4,---
1999-2000 ............,"530,367","402,954","37,029","30,304","35,853","3,463",---,"20,764",100.0,79.1,7.3,5.9,7.0,0.7,---
2000-01 ............,"531,840","401,780","38,103","31,368","35,865","3,700",---,"21,024",100.0,78.7,7.5,6.1,7.0,0.7,---
,,,,,,,,,,,,,,,
2002-03 ............,"573,258","430,248","41,494","35,101","40,230","3,870",---,"22,315",100.0,78.1,7.5,6.4,7.3,0.7,---
2003-04 ............,"595,425","445,483","43,851","37,288","41,360","4,244",---,"23,199",100.0,77.9,7.7,6.5,7.2,0.7,---
2004-05 ............,"613,000","456,592","45,810","39,490","43,711","4,143",---,"23,254",100.0,77.4,7.8,6.7,7.4,0.7,---
2005-06 ............,"630,502","467,397","48,073","41,805","45,803","4,202",---,"23,222",100.0,77.0,7.9,6.9,7.5,0.7,---
2006-07 ............,"649,816","480,747","49,715","44,761","47,577","4,508",---,"22,508",100.0,76.6,7.9,7.1,7.6,0.7,---
,,,,,,,,,,,,,,,
2007-08 ............,"668,184","492,360","52,298","47,797","49,535","4,523",---,"21,671",100.0,76.2,8.1,7.4,7.7,0.7,---
2008-09 ............,"685,422","503,396","53,465","50,596","50,773","4,849",---,"22,343",100.0,75.9,8.1,7.6,7.7,0.7,---
2009-10 ............,"706,660","513,711","56,136","55,139","53,365","4,879",---,"23,430",100.0,75.2,8.2,8.1,7.8,0.7,---
2010-11 ............,"734,159","519,992","59,015","60,869","55,321","4,798","8,028","26,136",100.0,73.4,8.3,8.6,7.8,0.7,1.1
2011-12 ............,"765,772","532,463","63,736","67,083","57,521","4,476","10,945","29,548",100.0,72.3,8.7,9.1,7.8,0.6,1.5
,,,,,,,,,,,,,,,
2012-13 ............,"787,408","535,358","67,351","74,067","59,806","4,611","13,834","32,381",100.0,70.9,8.9,9.8,7.9,0.6,1.8
2013-14 ............,"801,905","536,009","68,290","80,312","59,844","4,171","18,137","35,142",100.0,69.9,8.9,10.5,7.8,0.5,2.4
2014-15 ............,"812,693","530,418","69,316","86,881","61,080","4,061","22,245","38,692",100.0,68.5,9.0,11.2,7.9,0.5,2.9
2015-16 ............,"821,746","522,834","69,847","92,989","63,182","3,822","25,157","43,915",100.0,67.2,9.0,12.0,8.1,0.5,3.2
2016-17 ............,"836,045","521,421","70,554","99,331","65,398","3,730","27,084","48,527",100.0,66.2,9.0,12.6,8.3,0.5,3.4
,,,,,,,,,,,,,,,
Females,,,,,,,,,,,,,,,
1976-77\1\ ............,"423,476","369,527","33,489","8,425","6,155","1,522",---,"4,358",100.0,88.2,8.0,2.0,1.5,0.4,---
1980-81\2\ .............,"465,175","401,146","36,162","11,022","8,687","1,893",---,"6,265",100.0,87.4,7.9,2.4,1.9,0.4,---
1990-91 ............,"590,493","492,803","41,575","20,744","21,326","2,645",---,"11,400",100.0,85.1,7.2,3.6,3.7,0.5,---
1999-2000 ............,"707,508","526,148","70,989","44,759","42,056","5,254",---,"18,302",100.0,76.3,10.3,6.5,6.1,0.8,---
2000-01 ............,"712,331","525,577","73,204","46,377","43,037","5,349",---,"18,787",100.0,75.8,10.6,6.7,6.2,0.8,---
,,,,,,,,,,,,,,,
2002-03 ............,"775,553","564,368","82,759","53,928","47,734","6,005",---,"20,759",100.0,74.8,11.0,7.1,6.3,0.8,---
2003-04 ............,"804,117","580,631","87,390","57,356","50,713","6,394",---,"21,633",100.0,74.2,11.2,7.3,6.5,0.8,---
2004-05 ............,"826,264","592,549","90,312","61,634","53,498","6,164",---,"22,107",100.0,73.7,11.2,7.7,6.7,0.8,---
2005-06 ............,"854,602","608,074","94,332","65,770","56,568","6,736",---,"23,122",100.0,73.1,11.3,7.9,6.8,0.8,---
2006-07 .........…,"874,913","619,561","97,052","70,201","57,710","6,955",---,"23,434",100.0,72.8,11.4,8.2,6.8,0.8,---
,,,,,,,,,,,,,,,
2007-08 .........…,"895,550","630,886","100,329","74,973","59,642","6,986",---,"22,734",100.0,72.3,11.5,8.6,6.8,0.8,---
2008-09 ............,"915,977","641,232","103,138","78,877","61,808","7,372",---,"23,550",100.0,71.9,11.6,8.8,6.9,0.8,---
2009-10 ............,"943,259","653,611","108,653","85,287","64,026","7,526",---,"24,156",100.0,71.1,11.8,9.3,7.0,0.8,---
2010-11 ............,"981,894","662,698","113,716","93,581","65,797","7,137","12,561","26,404",100.0,69.4,11.9,9.8,6.9,0.7,1.3
2011-12 ............,"1,026,391","679,954","122,180","102,653","68,656","7,022","16,289","29,637",100.0,68.2,12.3,10.3,6.9,0.7,1.6
,,,,,,,,,,,,,,,
2012-13 ............,"1,052,973","686,550","123,882","112,610","70,323","6,821","20,294","32,493",100.0,67.3,12.1,11.0,6.9,0.7,2.0
2013-14 ............,"1,068,245","682,989","123,147","122,113","71,818","6,613","27,285","34,280",100.0,66.1,11.9,11.8,6.9,0.6,2.6
2014-15 ............,"1,082,276","679,653","123,513","131,217","72,836","6,141","31,970","36,946",100.0,65.0,11.8,12.6,7.0,0.6,3.1
2015-16 ............,"1,099,004","674,489","124,561","142,201","75,075","5,913","36,427","40,338",100.0,63.7,11.8,13.4,7.1,0.6,3.4
2016-17 ............,"1,119,987","674,586","125,746","152,835","78,680","5,852","39,442","42,846",100.0,62.6,11.7,14.2,7.3,0.5,3.7
---Not available.,,,,,,,,,,,,,,,
"\1\Excludes 1,121 males and 528 females whose racial/ethnic group was not available.  ",,,,,,,,,,,,,,,
\2\Excludes 258 males and 82 females whose racial/ethnic group was not available.  ,,,,,,,,,,,,,,,
"NOTE: Data through 1990-91 are for institutions of higher education, while later data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. For 1989-90 and later years, reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. Detail may not sum to totals because of rounding. Some data have been revised from previously published figures.        ",,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Higher Education General Information Survey (HEGIS), ""Degrees and Other Formal Awards Conferred"" surveys, 1976-77 and 1980-81; Integrated Postsecondary Education Data System (IPEDS), ""Completions Survey"" (IPEDS-C:90-99); and IPEDS Fall 2000 through Fall 2017, Completions component. (This table was prepared August 2018).",,,,,,,,,,,,,,,
