"Table 322.30. Bachelor's degrees conferred by postsecondary institutions, by race/ethnicity and field of study: 2015-16 and 2016-17       ",,,,,,,,,,,,,,,,,,,,
Field of study,2015-16,,,,,,,,,,2016-17,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
"Homeland security, law enforcement, and 
   firefighting .................................","61,159","33,017","12,056","11,656","1,703","1,448",255,435,"1,758",534,"59,581","31,302","11,544","12,166","1,697","1,465",232,440,"1,829",603
Legal professions and studies ..........................................,"4,243","2,398",720,672,213,207,6,28,148,64,"4,272","2,386",659,779,201,194,7,39,156,52
"Liberal arts and sciences, general studies, and 
   humanities ...................................","43,669","27,129","6,550","5,750","1,567","1,457",110,389,"1,408",876,"43,841","26,759","6,658","6,117","1,598","1,457",141,359,"1,526",824
Library science ............................................,85,65,7,9,1,1,0,1,2,0,109,86,7,5,1,0,1,2,8,0
,,,,,,,,,,,,,,,,,,,,
Mathematics and statistics ........................................,"22,778","13,034",992,"2,153","2,441","2,417",24,52,684,"3,422","24,073","13,191","1,021","2,320","2,620","2,598",22,59,771,"4,091"
Mechanic and repair technologies/technicians ....................................,386,256,30,27,17,17,0,6,14,36,303,216,25,25,12,12,0,4,9,12
Military technologies and applied sciences .............................,358,270,41,25,5,3,2,4,12,1,469,351,39,40,14,12,2,4,14,7
Multi/interdisciplinary studies ......................................,"48,833","28,551","6,352","7,472","3,106","2,990",116,282,"1,751","1,319","49,658","28,178","6,397","7,945","3,405","3,282",123,269,"1,993","1,471"
"Parks, recreation, leisure, and fitness studies ........................","50,912","34,107","5,844","5,759","2,313","2,196",117,265,"1,780",844,"53,264","34,468","6,215","6,578","2,555","2,432",123,323,"2,072","1,053"
,,,,,,,,,,,,,,,,,,,,
Philosophy and religious studies ......................................,"10,155","6,857",836,"1,165",559,528,31,49,389,300,"9,712","6,455",791,"1,124",570,553,17,40,422,310
Physical sciences and science technologies ............................,"30,483","20,408","1,483","2,768","2,948","2,901",47,145,"1,119","1,612","31,268","20,447","1,655","3,117","2,934","2,901",33,126,"1,200","1,789"
Precision production .............................................,51,35,1,3,3,3,0,0,1,8,32,24,1,2,4,3,1,0,0,1
Psychology ..........................................................…,"117,447","67,396","14,718","19,815","7,617","7,347",270,653,"4,355","2,893","116,861","65,187","14,807","20,784","7,814","7,520",294,632,"4,588","3,049"
Public administration and social services .............................................…,"34,433","18,703","7,662","5,265","1,087",976,111,254,"1,072",390,"35,464","19,018","7,662","5,824","1,106","1,003",103,287,"1,140",427
,,,,,,,,,,,,,,,,,,,,
Social sciences and history ...............................,"161,211","93,924","15,513","23,770","11,264","10,920",344,776,"6,104","9,860","159,099","90,393","15,200","25,062","11,176","10,860",316,728,"6,373","10,167"
  Social sciences .................................................,"135,622","74,729","14,121","20,847","10,469","10,166",303,650,"5,251","9,555","135,041","72,601","13,898","22,117","10,419","10,138",281,590,"5,537","9,879"
  History ......................................................,"25,589","19,195","1,392","2,923",795,754,41,126,853,305,"24,058","17,792","1,302","2,945",757,722,35,138,836,288
Theology and religious vocations .................................,"9,804","7,754",868,556,221,199,22,38,165,202,"9,491","7,476",802,558,238,221,17,44,159,214
Transportation and materials moving ..................................,"4,531","3,214",310,366,171,153,18,19,167,284,"4,710","3,306",280,355,204,186,18,25,201,339
Visual and performing arts .............................................,"92,979","59,294","6,847","11,687","5,819","5,614",205,459,"3,732","5,141","91,262","56,861","7,025","11,666","5,663","5,476",187,395,"4,059","5,593"
Other and not classified .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"\1\Excludes ""Construction trades"" and ""Mechanic and repair technologies/technicians,"" which are listed separately.    ",,,,,,,,,,,,,,,,,,,,
"NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; and ""Business"" includes Business management, marketing, and related support services and Personal and culinary services. Some data have been revised from previously published figures.      ",,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2016 and Fall 2017, Completions component. (This table was prepared August 2018.)  ",,,,,,,,,,,,,,,,,,,,
