"Table 322.50. Bachelor's degrees conferred to females by postsecondary institutions, by race/ethnicity and field of study: 2015-16 and 2016-17       ",,,,,,,,,,,,,,,,,,,,
Field of study,2015-16,,,,,,,,,,2016-17,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
"Liberal arts and sciences, general studies, and 
   humanities ......................................","27,519","16,853","3,968","4,016","1,025",964,61,247,881,529,"27,842","16,640","4,107","4,313","1,056",968,88,224,990,512
Library science ............................................,79,60,6,9,1,1,0,1,2,0,98,75,7,5,1,0,1,2,8,0
,,,,,,,,,,,,,,,,,,,,
Mathematics and statistics ........................................,"9,688","5,454",489,907,987,981,6,18,281,"1,552","10,071","5,366",494,968,"1,064","1,057",7,16,318,"1,845"
Mechanic and repair technologies/technicians ....................................,27,17,2,4,1,1,0,0,1,2,16,13,1,0,0,0,0,1,0,1
Military technologies and applied sciences .............................,68,42,14,8,1,0,1,0,3,0,68,45,11,4,4,3,1,1,2,1
Multi/interdisciplinary studies ......................................,"32,589","18,726","4,316","5,283","2,070","1,993",77,175,"1,202",817,"32,858","18,266","4,304","5,756","2,161","2,093",68,183,"1,307",881
"Parks, recreation, leisure, and fitness studies ........................","24,204","16,524","2,502","2,733","1,023",970,53,148,926,348,"25,874","16,962","2,804","3,297","1,162","1,116",46,187,"1,045",417
,,,,,,,,,,,,,,,,,,,,
Philosophy and religious studies ......................................,"3,784","2,441",381,434,240,227,13,18,166,104,"3,704","2,349",348,416,273,265,8,12,173,133
Physical sciences and science technologies ............................,"11,812","7,438",795,"1,073","1,322","1,299",23,61,449,674,"12,408","7,575",901,"1,255","1,377","1,356",21,60,511,729
Precision production .............................................,23,10,1,3,1,1,0,0,1,7,14,9,0,1,3,3,0,0,0,1
Psychology ..........................................................…,"91,170","52,292","11,750","15,572","5,498","5,289",209,512,"3,360","2,186","91,335","51,048","11,771","16,370","5,829","5,600",229,485,"3,552","2,280"
Public administration and social services .............................................…,"28,410","15,369","6,400","4,427",842,758,84,215,876,281,"29,226","15,595","6,427","4,857",837,754,83,233,956,321
,,,,,,,,,,,,,,,,,,,,
Social sciences and history ...............................,"79,919","42,602","9,371","13,602","5,785","5,611",174,422,"3,323","4,814","79,531","41,550","9,078","14,327","5,786","5,632",154,405,"3,495","4,890"
  Social sciences .................................................,"69,616","35,105","8,722","12,359","5,438","5,283",155,373,"2,930","4,689","69,779","34,535","8,464","13,106","5,464","5,322",142,352,"3,092","4,766"
  History ......................................................,"10,303","7,497",649,"1,243",347,328,19,49,393,125,"9,752","7,015",614,"1,221",322,310,12,53,403,124
Theology and religious vocations .................................,"3,055","2,205",400,233,78,74,4,15,68,56,"2,872","2,040",387,224,93,83,10,16,66,46
Transportation and materials moving ..................................,552,368,51,46,18,16,2,3,23,43,574,357,44,62,34,32,2,3,36,38
Visual and performing arts .............................................,"56,267","36,394","3,622","6,600","3,687","3,564",123,250,"2,319","3,395","55,966","35,328","3,839","6,673","3,681","3,583",98,230,"2,590","3,625"
Other and not classified .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"\1\Excludes ""Construction trades"" and ""Mechanic and repair technologies/technicians,"" which are listed separately.    ",,,,,,,,,,,,,,,,,,,,
"NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; and ""Business"" includes Business management, marketing, and related support services and Personal and culinary services. Some data have been revised from previously published figures.",,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2016 and Fall 2017, Completions component. (This table was prepared August 2018.)",,,,,,,,,,,,,,,,,,,,
