"Table 322.50. Bachelor's degrees conferred to females by postsecondary institutions, by race/ethnicity and field of study: 2014-15 and 2015-16       ",,,,,,,,,,,,,,,,,,,,
Field of study,2014-15,,,,,,,,,,2015-16,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
"Liberal arts and sciences, general studies, and 
   humanities ......................................","27,513","17,292","3,962","3,664","1,021",956,65,247,823,504,"27,516","16,854","3,968","4,013","1,025",964,61,247,880,529
Library science ............................................,83,66,7,4,1,0,1,1,4,0,79,60,6,9,1,1,0,1,2,0
,,,,,,,,,,,,,,,,,,,,
Mathematics and statistics ........................................,"9,392","5,510",520,879,965,949,16,26,261,"1,231","9,689","5,454",491,905,987,981,6,18,281,"1,553"
Mechanic and repair technologies/technicians ....................................,25,16,2,3,0,0,0,1,1,2,27,17,2,4,1,1,0,0,1,2
Military technologies and applied sciences .............................,51,37,8,3,0,0,0,0,1,2,68,42,14,8,1,0,1,0,3,0
Multi/interdisciplinary studies ......................................,"31,626","19,050","3,789","5,021","1,846","1,768",78,194,"1,012",714,"32,547","18,726","4,317","5,241","2,070","1,993",77,175,"1,201",817
"Parks, recreation, leisure, and fitness studies ........................","23,058","16,302","2,174","2,340","1,011",952,59,140,773,318,"24,209","16,529","2,505","2,731","1,023",970,53,148,925,348
,,,,,,,,,,,,,,,,,,,,
Philosophy and religious studies ......................................,"4,067","2,728",360,434,248,237,11,17,164,116,"3,785","2,441",381,435,240,227,13,18,166,104
Physical sciences and science technologies ............................,"11,562","7,274",806,"1,074","1,346","1,322",24,58,374,630,"11,811","7,438",794,"1,074","1,322","1,299",23,61,448,674
Precision production .............................................,15,6,2,2,4,4,0,0,0,1,22,10,0,3,1,1,0,0,1,7
Psychology ..........................................................…,"90,770","53,895","11,604","14,360","5,496","5,275",221,471,"3,017","1,927","91,161","52,288","11,761","15,556","5,497","5,288",209,512,"3,360","2,187"
Public administration and social services .............................................…,"28,218","15,717","6,351","4,052",864,779,85,227,739,268,"28,407","15,368","6,400","4,425",842,758,84,215,876,281
,,,,,,,,,,,,,,,,,,,,
Social sciences and history ...............................,"81,487","45,108","9,611","12,698","6,101","5,912",189,439,"3,039","4,491","79,930","42,616","9,371","13,601","5,783","5,609",174,422,"3,322","4,815"
  Social sciences .................................................,"70,235","36,757","8,912","11,459","5,712","5,531",181,384,"2,664","4,347","69,620","35,117","8,722","12,355","5,435","5,280",155,373,"2,929","4,689"
  History ......................................................,"11,252","8,351",699,"1,239",389,381,8,55,375,144,"10,310","7,499",649,"1,246",348,329,19,49,393,126
Theology and religious vocations .................................,"3,097","2,285",366,206,81,69,12,15,69,75,"3,055","2,205",400,233,78,74,4,15,68,56
Transportation and materials moving ..................................,584,382,47,53,40,36,4,1,24,37,553,368,51,46,18,16,2,3,24,43
Visual and performing arts .............................................,"57,816","38,763","3,567","6,456","3,614","3,508",106,300,"2,194","2,922","56,269","36,400","3,622","6,598","3,685","3,562",123,250,"2,318","3,396"
Other and not classified .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"\1\Excludes ""Construction trades"" and ""Mechanic and repair technologies/technicians,"" which are listed separately.    ",,,,,,,,,,,,,,,,,,,,
"NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; and ""Business"" includes Business, management, marketing, and related support services and Personal and culinary services. Some data have been revised from previously published figures.",,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2015 and Fall 2016, Completions component. (This table was prepared August 2017.)",,,,,,,,,,,,,,,,,,,,
