"Table 322.40. Bachelor's degrees conferred to males by postsecondary institutions, by race/ethnicity and field of study: 2012-13 and 2013-14       ",,,,,,,,,,,,,,,,,,,,
Field of study,2012-13,,,,,,,,,,2013-14,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
"Liberal arts and sciences, general studies, and 
   humanities ......................................","16,991","11,615","2,397","1,550",554,502,52,168,356,351,"16,485","11,003","2,428","1,598",535,491,44,170,381,370
Library science ............................................,12,11,0,1,0,0,0,0,0,0,14,12,1,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
Mathematics and statistics ........................................,"11,599","7,558",503,840,"1,295","1,271",24,49,194,"1,160","11,967","7,446",490,971,"1,331","1,317",14,35,299,"1,395"
Mechanic and repair technologies/technicians ....................................,248,185,10,11,12,11,1,6,3,21,297,225,16,16,8,8,0,2,9,21
Military technologies and applied sciences .............................,80,54,15,10,0,0,0,0,0,1,161,111,30,12,2,1,1,0,3,3
Multi/interdisciplinary studies ......................................,"15,332","10,321","1,629","1,608",938,886,52,138,324,374,"16,119","10,479","1,789","1,859","1,012",943,69,89,443,448
"Parks, recreation, leisure, and fitness studies ........................","23,170","16,810","2,485","2,065",914,850,64,137,414,345,"24,713","17,480","2,661","2,445","1,081","1,001",80,128,523,395
,,,,,,,,,,,,,,,,,,,,
Philosophy and religious studies ......................................,"8,149","5,972",582,756,461,442,19,50,187,141,"7,582","5,536",517,749,365,344,21,31,232,152
Physical sciences and science technologies ............................,"17,142","12,515",670,"1,201","1,610","1,576",34,71,308,767,"17,802","12,785",694,"1,363","1,610","1,584",26,83,459,808
Precision production .............................................,23,18,0,1,3,3,0,0,0,1,21,15,0,3,1,1,0,0,1,1
Psychology ..........................................................…,"26,814","16,994","2,903","3,381","2,171","2,090",81,182,611,572,"27,304","16,905","2,864","3,780","2,169","2,099",70,174,790,622
Public administration and social services .............................................…,"5,664","3,228","1,161",740,295,277,18,54,110,76,"5,917","3,432","1,215",778,238,213,25,54,131,69
,,,,,,,,,,,,,,,,,,,,
Social sciences and history ...............................,"90,143","61,907","6,681","9,256","6,269","6,042",227,474,"1,842","3,714","88,233","58,895","6,761","9,494","6,041","5,830",211,429,"2,374","4,239"
  Social sciences .................................................,"69,682","45,350","5,849","7,481","5,622","5,431",191,366,"1,442","3,572","69,480","44,037","5,896","7,747","5,474","5,287",187,332,"1,904","4,090"
  History ......................................................,"20,461","16,557",832,"1,775",647,611,36,108,400,142,"18,753","14,858",865,"1,747",567,543,24,97,470,149
Theology and religious vocations .................................,"6,351","5,349",363,271,143,122,21,33,50,142,"6,594","5,438",429,298,159,146,13,30,78,162
Transportation and materials moving ..................................,"4,108","3,065",307,310,207,177,30,17,94,108,"4,053","3,029",270,297,168,147,21,28,109,152
Visual and performing arts .............................................,"38,063","26,331","2,890","4,330","2,270","2,169",101,245,784,"1,213","38,081","25,884","3,091","4,410","2,180","2,071",109,231,"1,010","1,275"
Other and not classified .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"\1\Excludes ""Construction trades"" and ""Mechanic and repair technologies/technicians,"" which are listed separately.    ",,,,,,,,,,,,,,,,,,,,
"NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; and ""Business"" includes Business management, marketing, and related support services and Personal and culinary services. Some data have been revised from previously published figures.      ",,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2013 and Fall 2014, Completions component. (This table was prepared September 2015.)  ",,,,,,,,,,,,,,,,,,,,
