"Table 322.50. Bachelor's degrees conferred to females by postsecondary institutions, by race/ethnicity and field of study: 2011-12 and 2012-13       ",,,,,,,,,,,,,,,,,,,,
Field of study,2011-12,,,,,,,,,,2012-13,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
"Liberal arts and sciences, general studies, and 
   humanities ......................................","30,008","19,357","4,470","3,623","1,111","1,035",76,336,538,573,"29,793","19,088","4,226","3,751","1,132","1,045",87,343,668,585
Library science ............................................,88,82,2,3,1,1,0,0,0,0,90,79,6,3,0,0,0,0,2,0
,,,,,,,,,,,,,,,,,,,,
Mathematics and statistics ........................................,"8,119","5,451",468,594,772,752,20,22,96,716,"8,851","5,717",519,686,822,807,15,29,157,921
Mechanic and repair technologies/technicians ....................................,15,7,2,0,0,0,0,2,0,4,26,19,0,3,0,0,0,0,2,2
Military technologies and applied sciences .............................,17,9,7,1,0,0,0,0,0,0,25,7,14,2,1,1,0,1,0,0
Multi/interdisciplinary studies ......................................,"31,120","20,109","3,551","4,417","1,756","1,683",73,243,468,576,"32,324","20,200","3,947","4,866","1,817","1,718",99,221,682,591
"Parks, recreation, leisure, and fitness studies ........................","18,164","13,821","1,539","1,421",706,654,52,125,280,272,"19,486","14,668","1,657","1,665",762,710,52,124,360,250
,,,,,,,,,,,,,,,,,,,,
Philosophy and religious studies ......................................,"4,687","3,355",481,388,250,246,4,35,100,78,"4,643","3,255",445,419,288,279,9,26,128,82
Physical sciences and science technologies ............................,"10,692","7,058",921,719,"1,260","1,243",17,69,205,460,"10,907","7,145",849,781,"1,275","1,247",28,85,227,545
Precision production .............................................,9,7,0,0,0,0,0,0,2,0,13,7,0,1,3,3,0,0,1,1
Psychology ..........................................................…,"83,679","53,385","10,978","10,435","5,222","5,047",175,561,"1,547","1,551","87,634","55,089","11,221","11,791","5,428","5,227",201,523,"1,928","1,654"
Public administration and social services .............................................…,"24,309","13,805","5,822","3,091",747,670,77,240,367,237,"26,286","14,621","6,366","3,490",823,738,85,246,479,261
,,,,,,,,,,,,,,,,,,,,
Social sciences and history ...............................,"87,906","54,179","10,522","10,931","6,629","6,372",257,602,"1,884","3,159","87,630","52,229","10,278","12,083","6,614","6,428",186,537,"2,261","3,628"
  Social sciences .................................................,"73,755","43,262","9,663","9,600","6,080","5,845",235,498,"1,604","3,048","73,899","41,721","9,451","10,725","6,094","5,923",171,463,"1,933","3,512"
  History ......................................................,"14,151","10,917",859,"1,331",549,527,22,104,280,111,"13,731","10,508",827,"1,358",520,505,15,74,328,116
Theology and religious vocations .................................,"3,053","2,422",292,155,81,75,6,22,34,47,"3,034","2,324",326,173,101,96,5,8,51,51
Transportation and materials moving ..................................,571,404,46,57,25,22,3,12,7,20,529,351,47,55,26,24,2,4,25,21
Visual and performing arts .............................................,"58,642","42,463","3,420","5,256","3,761","3,665",96,346,"1,136","2,260","59,735","42,238","3,433","5,835","4,003","3,872",131,361,"1,387","2,478"
Other and not classified .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"\1\Excludes ""Construction trades"" and ""Mechanic and repair technologies/technicians,"" which are listed separately.    ",,,,,,,,,,,,,,,,,,,,
"NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; and ""Business"" includes Business management, marketing, and related support services and Personal and culinary services. Some data have been revised from previously published figures.     ",,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2012 and Fall 2013, Completions component. (This table was prepared September 2014.)  ",,,,,,,,,,,,,,,,,,,,
