"Table 322.50. Bachelor's degrees conferred to females by postsecondary institutions, by race/ethnicity and field of study: 2012-13 and 2013-14       ",,,,,,,,,,,,,,,,,,,,
Field of study,2012-13,,,,,,,,,,2013-14,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
"Liberal arts and sciences, general studies, and 
   humanities ......................................","29,799","19,094","4,227","3,751","1,132","1,045",87,343,667,585,"28,775","18,096","4,244","3,832","1,027",948,79,270,834,472
Library science ............................................,90,79,6,3,0,0,0,0,2,0,113,96,10,4,0,0,0,1,2,0
,,,,,,,,,,,,,,,,,,,,
Mathematics and statistics ........................................,"8,850","5,716",519,686,822,807,15,29,157,921,"9,013","5,555",519,787,864,849,15,27,218,"1,043"
Mechanic and repair technologies/technicians ....................................,25,19,0,3,0,0,0,0,1,2,21,13,0,4,2,2,0,1,0,1
Military technologies and applied sciences .............................,25,7,14,2,1,1,0,1,0,0,24,8,8,4,2,1,1,0,2,0
Multi/interdisciplinary studies ......................................,"32,326","20,201","3,946","4,867","1,816","1,717",99,221,682,593,"32,229","19,884","3,975","4,721","1,902","1,819",83,230,851,666
"Parks, recreation, leisure, and fitness studies ........................","19,458","14,653","1,651","1,663",757,705,52,123,360,251,"21,329","15,525","1,952","1,992",889,825,64,160,515,296
,,,,,,,,,,,,,,,,,,,,
Philosophy and religious studies ......................................,"4,643","3,255",445,419,288,279,9,26,128,82,"4,415","2,981",403,431,299,286,13,33,154,114
Physical sciences and science technologies ............................,"10,911","7,149",849,781,"1,273","1,245",28,85,229,545,"11,502","7,318",868,873,"1,406","1,382",24,82,361,594
Precision production .............................................,13,7,0,1,3,3,0,0,1,1,16,11,0,1,2,2,0,1,0,1
Psychology ..........................................................…,"87,632","55,087","11,220","11,791","5,423","5,222",201,522,"1,934","1,655","89,994","54,743","11,371","13,335","5,523","5,311",212,514,"2,675","1,833"
Public administration and social services .............................................…,"26,286","14,621","6,366","3,490",823,738,85,246,479,261,"27,566","15,423","6,235","3,937",810,724,86,251,633,277
,,,,,,,,,,,,,,,,,,,,
Social sciences and history ...............................,"87,624","52,224","10,277","12,082","6,610","6,424",186,533,"2,269","3,629","84,863","48,923","9,861","12,526","6,253","6,065",188,465,"2,884","3,951"
  Social sciences .................................................,"73,897","41,719","9,450","10,724","6,090","5,919",171,459,"1,942","3,513","72,510","39,635","9,099","11,197","5,845","5,683",162,389,"2,509","3,836"
  History ......................................................,"13,727","10,505",827,"1,358",520,505,15,74,327,116,"12,353","9,288",762,"1,329",408,382,26,76,375,115
Theology and religious vocations .................................,"3,034","2,324",326,173,101,96,5,8,51,51,"3,048","2,295",334,201,83,79,4,19,53,63
Transportation and materials moving ..................................,553,377,53,54,28,26,2,5,13,23,535,347,52,61,34,28,6,6,13,22
Visual and performing arts .............................................,"59,736","42,238","3,434","5,836","4,003","3,872",131,360,"1,388","2,477","59,165","40,893","3,566","6,090","3,859","3,745",114,304,"1,876","2,577"
Other and not classified .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"\1\Excludes ""Construction trades"" and ""Mechanic and repair technologies/technicians,"" which are listed separately.    ",,,,,,,,,,,,,,,,,,,,
"NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; and ""Business"" includes Business management, marketing, and related support services and Personal and culinary services. Some data have been revised from previously published figures.     ",,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2013 and Fall 2014, Completions component. (This table was prepared September 2014.)  ",,,,,,,,,,,,,,,,,,,,
