"Table 322.40. Bachelor's degrees conferred to males by postsecondary institutions, by race/ethnicity and field of study: 2010-11 and 2011-12       ",,,,,,,,,,,,,,,,,,,,
Field of study,2010-11,,,,,,,,,,2011-12,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
Library science ............................................,13,12,1,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
Mathematics and statistics ........................................,"9,783","6,759",418,654,"1,113","1,094",19,49,119,671,"10,723","7,287",508,713,"1,104","1,085",19,37,151,923
Mechanic and repair technologies/technicians ....................................,209,147,13,14,13,12,1,4,1,17,235,164,10,17,12,12,0,3,1,28
Military technologies and applied sciences .............................,50,35,10,2,0,0,0,2,1,0,69,42,18,5,0,0,0,1,1,2
Multi/interdisciplinary studies ......................................,"13,602","9,488","1,327","1,299",917,870,47,114,155,302,"14,594","9,986","1,502","1,534",883,849,34,114,240,335
"Parks, recreation, leisure, and fitness studies ........................","18,936","14,025","2,029","1,485",743,683,60,164,184,306,"20,830","15,352","2,211","1,760",791,732,59,142,243,331
,,,,,,,,,,,,,,,,,,,,
Philosophy and religious studies ......................................,"8,149","6,317",499,647,399,381,18,46,115,126,"7,963","6,118",483,664,372,352,20,50,154,122
Physical sciences and science technologies ............................,"14,782","11,130",590,851,"1,327","1,301",26,87,195,602,"15,972","11,925",621,962,"1,481","1,459",22,85,242,656
Precision production .............................................,22,19,0,1,1,1,0,0,0,1,28,23,2,1,2,2,0,0,0,0
Psychology ..........................................................…,"23,229","15,563","2,338","2,500","1,916","1,866",50,147,363,402,"25,406","16,661","2,593","2,905","2,110","2,040",70,192,496,449
Public administration and social services .............................................…,"4,908","2,978",899,572,243,226,17,44,102,70,"5,385","3,159","1,092",643,266,237,29,47,95,83
,,,,,,,,,,,,,,,,,,,,
Social sciences and history ...............................,"89,814","64,249","6,303","7,944","6,600","6,413",187,591,"1,143","2,984","90,634","63,675","6,626","8,618","6,391","6,178",213,513,"1,579","3,232"
  Social sciences .................................................,"68,991","47,057","5,523","6,274","5,934","5,769",165,450,896,"2,857","69,664","46,466","5,765","6,982","5,711","5,537",174,389,"1,256","3,095"
  History ......................................................,"20,823","17,192",780,"1,670",666,644,22,141,247,127,"20,970","17,209",861,"1,636",680,641,39,124,323,137
Theology and religious vocations .................................,"6,118","5,218",325,218,156,142,14,28,29,144,"6,275","5,329",345,230,152,142,10,20,54,145
Transportation and materials moving ..................................,"4,345","3,393",239,334,182,174,8,34,47,116,"4,305","3,333",297,323,160,141,19,32,46,114
Visual and performing arts .............................................,"36,341","26,223","2,499","3,558","2,259","2,181",78,236,490,"1,076","37,158","26,413","2,689","3,823","2,226","2,147",79,272,615,"1,120"
Other and not classified .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"\1\Excludes ""Construction trades"" and ""Mechanic and repair technologies/technicians,"" which are listed separately.    ",,,,,,,,,,,,,,,,,,,,
"NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; and ""Business"" includes Business management, marketing, and related support services and Personal and culinary services.     ",,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2011 and Fall 2012, Completions component. (This table was prepared July 2013.)  ",,,,,,,,,,,,,,,,,,,,
