"Table 322.40. Bachelor's degrees conferred to males by postsecondary institutions, by race/ethnicity and field of study: 2013-14 and 2014-15       ",,,,,,,,,,,,,,,,,,,,
Field of study,2013-14,,,,,,,,,,2014-15,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
"Liberal arts and sciences, general studies, and 
   humanities ......................................","16,495","11,009","2,432","1,598",535,491,44,170,381,370,"16,136","10,529","2,521","1,607",555,507,48,149,428,347
Library science ............................................,14,12,1,1,0,0,0,0,0,0,16,13,3,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
Mathematics and statistics ........................................,"11,970","7,448",490,972,"1,331","1,317",14,35,299,"1,395","12,462","7,556",493,"1,061","1,364","1,347",17,45,348,"1,595"
Mechanic and repair technologies/technicians ....................................,297,225,16,16,8,8,0,2,9,21,355,253,27,25,14,14,0,1,12,23
Military technologies and applied sciences .............................,161,111,30,12,2,1,1,0,3,3,225,164,26,24,3,2,1,2,3,3
Multi/interdisciplinary studies ......................................,"16,126","10,482","1,789","1,862","1,013",944,69,89,443,448,"15,930","10,052","1,845","1,969","1,003",948,55,124,510,427
"Parks, recreation, leisure, and fitness studies ........................","24,717","17,482","2,663","2,445","1,081","1,001",80,128,523,395,"25,948","17,896","2,903","2,686","1,154","1,063",91,137,706,466
,,,,,,,,,,,,,,,,,,,,
Philosophy and religious studies ......................................,"7,583","5,537",517,749,365,344,21,31,232,152,"7,004","5,026",471,719,363,344,19,35,223,167
Physical sciences and science technologies ............................,"17,804","12,787",694,"1,363","1,609","1,583",26,84,459,808,"18,478","13,211",703,"1,469","1,615","1,588",27,82,540,858
Precision production .............................................,21,15,0,3,1,1,0,0,1,1,33,25,0,1,3,3,0,1,0,3
Psychology ..........................................................…,"27,306","16,909","2,866","3,777","2,169","2,099",70,174,789,622,"26,802","15,979","3,034","4,011","2,037","1,954",83,154,967,620
Public administration and social services .............................................…,"5,916","3,432","1,215",778,238,213,25,53,131,69,"6,145","3,378","1,292",875,261,239,22,57,165,117
,,,,,,,,,,,,,,,,,,,,
Social sciences and history ...............................,"88,254","58,908","6,767","9,496","6,041","5,830",211,429,"2,372","4,241","85,478","55,494","6,551","10,016","5,716","5,509",207,355,"2,654","4,692"
  Social sciences .................................................,"69,491","44,042","5,901","7,748","5,474","5,287",187,332,"1,902","4,092","68,692","42,371","5,774","8,327","5,199","5,015",184,272,"2,197","4,552"
  History ......................................................,"18,763","14,866",866,"1,748",567,543,24,97,470,149,"16,786","13,123",777,"1,689",517,494,23,83,457,140
Theology and religious vocations .................................,"6,594","5,438",429,298,159,146,13,30,78,162,"6,612","5,498",419,296,149,142,7,33,72,145
Transportation and materials moving ..................................,"4,053","3,029",270,297,168,147,21,28,109,152,"4,133","3,061",272,315,151,136,15,22,122,190
Visual and performing arts .............................................,"38,177","25,927","3,110","4,438","2,186","2,076",110,231,"1,010","1,275","38,020","24,703","3,126","4,852","2,240","2,156",84,231,"1,447","1,421"
Other and not classified .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"\1\Excludes ""Construction trades"" and ""Mechanic and repair technologies/technicians,"" which are listed separately.    ",,,,,,,,,,,,,,,,,,,,
"NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; and ""Business"" includes Business management, marketing, and related support services and Personal and culinary services. Some data have been revised from previously published figures.      ",,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2014 and Fall 2015, Completions component. (This table was prepared September 2016.)  ",,,,,,,,,,,,,,,,,,,,
