"Table 322.50. Bachelor's degrees conferred to females by postsecondary institutions, by race/ethnicity and field of study: 2013-14 and 2014-15       ",,,,,,,,,,,,,,,,,,,,
Field of study,2013-14,,,,,,,,,,2014-15,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
"Liberal arts and sciences, general studies, and 
   humanities ......................................","28,786","18,105","4,245","3,833","1,027",948,79,270,834,472,"27,511","17,295","3,966","3,657","1,021",956,65,247,822,503
Library science ............................................,113,96,10,4,0,0,0,1,2,0,83,66,7,4,1,0,1,1,4,0
,,,,,,,,,,,,,,,,,,,,
Mathematics and statistics ........................................,"9,017","5,558",521,786,864,849,15,27,218,"1,043","9,391","5,513",518,879,964,948,16,26,260,"1,231"
Mechanic and repair technologies/technicians ....................................,21,13,0,4,2,2,0,1,0,1,25,16,2,3,0,0,0,1,1,2
Military technologies and applied sciences .............................,24,8,8,4,2,1,1,0,2,0,51,37,8,3,0,0,0,0,1,2
Multi/interdisciplinary studies ......................................,"32,266","19,908","3,977","4,723","1,905","1,822",83,231,852,670,"31,626","19,052","3,784","5,021","1,848","1,770",78,195,"1,012",714
"Parks, recreation, leisure, and fitness studies ........................","21,330","15,526","1,952","1,992",889,825,64,160,515,296,"23,058","16,306","2,175","2,335","1,010",951,59,140,774,318
,,,,,,,,,,,,,,,,,,,,
Philosophy and religious studies ......................................,"4,416","2,982",403,431,299,286,13,33,154,114,"4,068","2,728",360,435,248,237,11,17,164,116
Physical sciences and science technologies ............................,"11,503","7,318",869,873,"1,406","1,382",24,82,361,594,"11,560","7,273",806,"1,073","1,347","1,323",24,57,375,629
Precision production .............................................,16,11,0,1,2,2,0,1,0,1,15,6,2,2,4,4,0,0,0,1
Psychology ..........................................................…,"90,006","54,737","11,393","13,332","5,523","5,311",212,513,"2,674","1,834","90,755","53,916","11,597","14,329","5,497","5,276",221,472,"3,017","1,927"
Public administration and social services .............................................…,"27,567","15,423","6,235","3,938",810,724,86,251,633,277,"28,218","15,738","6,335","4,045",865,780,85,228,740,267
,,,,,,,,,,,,,,,,,,,,
Social sciences and history ...............................,"84,878","48,916","9,885","12,526","6,254","6,066",188,464,"2,882","3,951","81,466","45,108","9,601","12,678","6,109","5,919",190,440,"3,040","4,490"
  Social sciences .................................................,"72,519","39,625","9,120","11,197","5,844","5,682",162,388,"2,508","3,837","70,214","36,753","8,903","11,441","5,720","5,538",182,385,"2,666","4,346"
  History ......................................................,"12,359","9,291",765,"1,329",410,384,26,76,374,114,"11,252","8,355",698,"1,237",389,381,8,55,374,144
Theology and religious vocations .................................,"3,048","2,295",334,201,83,79,4,19,53,63,"3,096","2,284",366,206,81,69,12,15,69,75
Transportation and materials moving ..................................,535,347,52,61,34,28,6,6,13,22,578,380,46,53,39,35,4,1,22,37
Visual and performing arts .............................................,"59,237","40,926","3,581","6,120","3,852","3,740",112,304,"1,876","2,578","57,812","38,773","3,568","6,443","3,613","3,507",106,300,"2,193","2,922"
Other and not classified .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"\1\Excludes ""Construction trades"" and ""Mechanic and repair technologies/technicians,"" which are listed separately.    ",,,,,,,,,,,,,,,,,,,,
"NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. To facilitate trend comparisons, certain aggregations have been made of the degree fields as reported in the Integrated Postsecondary Education Data System (IPEDS): ""Agriculture and natural resources"" includes Agriculture, agriculture operations, and related sciences and Natural resources and conservation; and ""Business"" includes Business management, marketing, and related support services and Personal and culinary services. Some data have been revised from previously published figures.",,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2014 and Fall 2015, Completions component. (This table was prepared September 2016.)",,,,,,,,,,,,,,,,,,,,
